Symbol,Date,Open,High,Low,Close,Close_Chg,ATR,Vol10_Sig,Range_ATR,Fib_Status,EMA20_Sig,EMA20_Cnt,High_Low,Support,Break_Sup_Res,Brakeout_10,Resistance,Brakeout_20,Bull_Signal,Bear_Signal
HDFCLIFE,02/18/2021,703.5,715.95,702.0,713.45,1.47,18.58,Normal Volume,0.8,Cls_Crs_Abv_F382,Close_GT_20EMA,2.0,HH_HL,,,,,,3.0,0.0
DRREDDY,02/18/2021,4607.0,4663.85,4560.0,4616.95,0.36,129.91,Normal Volume,0.8,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
ITC,02/18/2021,218.2,220.6,217.9,218.85,0.51,6.49,Normal Volume,0.4,,Close_LT_20EMA,0.0,HH_HL,,,,,,1.0,1.0
HINDUNILVR,02/18/2021,2164.0,2168.55,2143.2,2146.85,-0.79,47.39,Above Avg Volume,0.5,,Close_LT_20EMA,0.0,LH_LL,,,Breakout_10_Down,,Breakout_20_Down,0.0,4.0
TCS,02/18/2021,3065.0,3097.9,3031.0,3057.35,-0.51,72.76,Super Volume,0.9,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
ZEEL,02/18/2021,214.95,217.9,211.0,211.75,-1.49,10.61,Normal Volume,0.7,,Close_LT_20EMA,0.0,HH_HL,,,,,,1.0,1.0
JSWSTEEL,02/18/2021,410.0,414.75,406.0,407.65,-0.26,13.46,Normal Volume,0.7,,Close_GT_20EMA,13.0,HH_HL,,,,,,2.0,0.0
ASIANPAINT,02/18/2021,2424.0,2479.6,2395.25,2470.75,3.46,75.16,Above Avg Volume,1.1,Cls_Crs_Abv_F618,Close_LT_20EMA,0.0,HH_HL,Price_Crs_Abv_Supp,Prev_Res_Broken_Up,,,,5.0,1.0
HDFC,02/18/2021,2800.0,2806.0,2730.1,2745.15,-2.15,79.57,Normal Volume,1.0,,Close_GT_20EMA,14.0,LH_LL,Price_Crs_Abv_Supp,,,Price_Crs_Blw_Prev_Res,,2.0,1.5
RELIANCE,02/18/2021,2085.0,2108.4,2059.1,2067.7,-0.75,53.49,Normal Volume,0.9,,Close_GT_20EMA,9.0,HH_HL,,,,,,2.0,0.0
AXISBANK,02/18/2021,775.0,782.0,764.0,777.0,-0.1,27.18,Above Avg Volume,0.7,,Close_GT_20EMA,16.0,LH_LL,,,,,,1.0,1.0
WIPRO,02/18/2021,430.3,436.65,429.35,432.95,0.64,12.61,Normal Volume,0.6,,Cross_Abv_20EMA,1.0,LH_HL,,,,,,1.5,0.0
HCLTECH,02/18/2021,944.0,956.75,938.35,948.1,0.52,26.02,Normal Volume,0.7,Cls_Crs_Abv_F50,Close_LT_20EMA,0.0,LH_LL,,,,,,1.0,2.0
NESTLEIND,02/18/2021,16756.0,16900.0,16300.0,16364.7,-2.25,379.87,Above Avg Volume,1.6,,Close_LT_20EMA,0.0,HH_LL,,,,,,0.0,2.0
TATAMOTORS,02/18/2021,331.5,331.75,321.1,323.85,-1.91,14.93,Normal Volume,0.7,,Close_GT_20EMA,38.0,LH_LL,,Prev_Sup_Broken_Down,,,,1.0,2.0
SBIN,02/18/2021,425.05,427.7,413.7,415.2,0.84,15.4,Normal Volume,0.9,,Close_GT_20EMA,14.0,HH_HL,,,,,,2.0,0.0
INFY,02/18/2021,1276.0,1306.0,1275.0,1292.45,0.87,30.16,Above Avg Volume,1.0,,Close_LT_20EMA,0.0,HH_HL,,,,,,1.0,1.0
BAJAJAUTO,02/18/2021,4200.0,4200.0,4102.1,4115.45,-1.21,106.95,Normal Volume,0.9,,Close_GT_20EMA,40.0,LH_LL,,Cur_Sup_Broken_Down,,,,1.0,2.0
TITAN,02/18/2021,1465.1,1471.9,1429.0,1433.0,-1.88,45.45,Normal Volume,0.9,,Close_LT_20EMA,0.0,LH_LL,,,Breakout_10_Down,,,0.0,3.0
MARUTI,02/18/2021,7574.85,7579.05,7460.0,7497.55,-0.08,212.36,Normal Volume,0.6,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
ICICIBANK,02/18/2021,650.0,652.4,637.6,644.65,-1.93,19.31,Above Avg Volume,0.8,,Close_GT_20EMA,15.0,LH_LL,,,,,,1.0,1.0
