Symbol,Date,Open,High,Low,Close,Close_Chg,ATR,Vol10_Sig,Range_ATR,Fib_Status,EMA20_Sig,EMA20_Cnt,High_Low,Support,Break_Sup_Res,Brakeout_10,Resistance,Brakeout_20,Bull_Signal,Bear_Signal
HDFCBANK,02/19/2021,1545.0,1564.2,1533.0,1539.1,-0.98,42.92,Above Avg Volume,0.7,,Cross_Blw_20EMA,0.0,LH_LL,,,Breakout_10_Down,,,0.0,3.0
LT,02/19/2021,1523.85,1547.0,1498.85,1508.8,-1.04,42.27,Above Avg Volume,1.1,,Close_GT_20EMA,15.0,LH_LL,,Cur_Sup_Broken_Down,Breakout_10_Down,,,1.0,3.0
GRASIM,02/19/2021,1231.75,1239.7,1210.0,1218.0,-0.95,36.67,Normal Volume,0.8,,Close_GT_20EMA,39.0,LH_LL,,,,,,1.0,1.0
CIPLA,02/19/2021,823.8,825.45,799.0,807.35,-2.19,23.53,Above Avg Volume,1.1,,Close_LT_20EMA,0.0,LH_LL,,Prev_Sup_Broken_Down,Breakout_10_Down,,,0.0,4.0
SHREECEM,02/19/2021,27649.95,27857.45,26753.35,27542.45,-0.29,926.24,Normal Volume,1.2,,Close_GT_20EMA,15.0,LH_LL,,,,,,1.0,1.0
INDUSINDBK,02/19/2021,1035.0,1074.55,1027.8,1065.9,1.9,44.82,Above Avg Volume,1.0,,Close_GT_20EMA,15.0,HH_LL,Price_Crs_Abv_Cur_Res,Cur_Res_Broken_Up,,,,4.0,0.0
BHARTIARTL,02/19/2021,590.0,596.0,575.5,581.35,-1.31,18.09,Normal Volume,1.1,,Cross_Blw_20EMA,0.0,LH_LL,,,,,,0.0,2.0
ONGC,02/19/2021,110.7,112.2,103.85,105.1,-5.06,4.62,Above Avg Volume,1.8,Cls_Crs_Abv_F382,Close_GT_20EMA,12.0,LH_HL,,,,,,2.5,0.0
HEROMOTOCO,02/19/2021,3522.85,3522.85,3370.0,3389.7,-3.78,112.84,Normal Volume,1.4,,Cross_Blw_20EMA,0.0,LH_LL,,Cur_Sup_Broken_Down,,,,0.0,3.0
ULTRACEMCO,02/19/2021,6315.0,6318.65,6175.0,6208.5,-1.86,179.44,Normal Volume,0.8,,Close_GT_20EMA,15.0,LH_LL,,,,,,1.0,1.0
NTPC,02/19/2021,103.65,106.75,101.4,104.2,0.77,3.35,Super Volume,1.6,,Close_GT_20EMA,4.0,HH_HL,,,,,,2.0,0.0
GAIL,02/19/2021,143.95,149.45,143.5,145.4,1.61,5.22,Super Volume,1.1,,Close_GT_20EMA,10.0,HH_HL,,,,,,2.0,0.0
BAJFINANCE,02/19/2021,5560.0,5621.95,5425.0,5497.95,-1.18,177.51,Above Avg Volume,1.1,,Close_GT_20EMA,15.0,LH_LL,Price_Crs_Abv_Supp,,,,,2.0,1.0
UPL,02/19/2021,542.95,565.0,539.5,552.8,2.17,20.15,Super Volume,1.3,,Close_GT_20EMA,2.0,HH_HL,,,,,,2.0,0.0
MM,02/19/2021,890.0,905.65,862.85,879.25,-1.7,32.82,Normal Volume,1.3,,Close_GT_20EMA,15.0,LH_LL,,,,,,1.0,1.0
