Date,Open,High,Low,Close,Volume
2016-09-15,386.53,386.53,376.93,378.77,1934028
2016-09-16,383.33,387.93,379.4,385.3,11505994
2016-09-19,387.33,391.73,386.57,390.13,2150046
2016-09-20,391.33,393.3,388.53,390.5,2093194
2016-09-21,393.33,396.93,386.77,391.2,1773718
2016-09-22,395.33,400.33,392.47,399.2,2585088
2016-09-23,400.87,405.43,400.4,403.1,2083872
2016-09-26,403.33,416.6,396.87,414.97,3162720
2016-09-27,418.8,419.07,405.6,407.17,2788078
2016-09-28,408.0,413.17,406.3,410.87,1387151
2016-09-29,410.47,415.23,400.27,406.77,4478599
2016-09-30,403.33,412.47,402.67,408.4,1758366
2016-10-03,410.67,420.33,410.0,418.5,1837223
2016-10-04,418.83,426.0,418.7,424.97,1619606
2016-10-05,425.13,434.7,418.0,433.27,1679388
2016-10-06,435.8,455.73,434.67,447.13,3359114
2016-10-07,449.93,453.27,437.33,442.37,1916720
2016-10-10,442.67,444.6,435.53,438.53,1568578
2016-10-13,435.33,446.97,430.6,438.07,3260331
2016-10-14,440.63,448.27,439.33,444.57,1741447
2016-10-17,449.2,449.8,437.4,439.4,2027031
2016-10-18,440.67,442.4,430.67,437.83,1755878
2016-10-19,438.7,446.47,437.2,440.4,1825292
2016-10-20,440.67,443.33,436.03,441.43,1548834
2016-10-21,443.33,447.67,441.13,445.5,1321948
2016-10-24,446.33,458.63,444.7,457.47,1880593
2016-10-25,454.07,458.33,448.87,456.97,1785357
2016-10-26,455.6,457.63,447.27,450.7,1908868
2016-10-27,446.0,453.5,443.43,451.07,2285266
2016-10-28,448.67,451.0,444.23,446.03,1877422
2016-10-30,446.03,449.53,445.0,446.17,103090
2016-11-01,447.37,453.23,444.77,450.77,1506938
2016-11-02,446.67,446.67,436.67,440.1,1399984
2016-11-03,442.47,442.67,427.2,429.37,1909508
2016-11-04,428.67,432.93,421.33,429.0,1885359
2016-11-07,432.0,444.33,431.07,440.07,1624305
2016-11-08,438.0,445.27,436.23,440.37,1378538
2016-11-09,423.33,446.0,417.73,439.97,1900364
2016-11-10,439.0,448.63,439.0,443.03,2279596
2016-11-11,433.33,440.33,429.97,433.07,2854892
2016-11-15,430.87,436.53,414.37,429.07,6595039
2016-11-16,433.33,440.7,419.43,422.77,3657738
2016-11-17,423.33,429.2,414.1,423.67,4539889
2016-11-18,424.1,431.17,422.67,428.37,3661561
2016-11-21,431.13,431.67,420.03,422.57,3136029
2016-11-22,423.0,429.73,422.67,427.27,2862443
2016-11-23,426.67,428.67,416.27,422.6,3069816
2016-11-24,418.73,429.27,417.7,425.4,2679576
2016-11-25,427.33,431.53,423.47,426.27,1483869
2016-11-28,427.33,442.5,426.7,434.2,4149321
2016-11-29,435.33,438.43,428.0,429.2,2561458
2016-11-30,430.33,434.0,423.73,429.3,25612966
